"U.S. Emissions, Agricultural Activities, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Nitrous oxide",300.5025704050655,290.6519219806345,290.2680117897105,303.0248588652305,302.218584106887,301.4774354620255,308.606773674436,301.0994283332445,305.042584440579,301.0749456501435,294.5100035749725,305.7863252138395,305.3647107069515,307.9925684073905,315.9203034469085,306.1381812323985,303.7336976823955,313.182200806472,309.686190831763,310.4959110203605,311.329021624281,309.5388827599435,297.9580692384965,329.959297411993,336.453174890049,329.9612309802795,319.9907957698875,327.6655813790725,341.108065132548,326.855926505396,308.2095946298485,311.6134094851425
"Methane",240.4402935210192,242.7717524078896,246.5964248552588,252.2695262239208,257.1191946768788,263.6873918368284,261.9881387056528,258.6887552788728,262.2285282003632,263.1407787099392,262.9048480056348,259.4430133531236,263.2696459986796,260.444185071168,255.9723839238552,263.7252983402268,263.1317792265064,272.6164268670976,267.8518290516684,267.9837148463328,271.0950677881404,264.8601366373844,264.3912708947944,259.2364261058824,258.4572360956796,266.5591185276824,274.0279830078112,277.4997853566568,281.207768973068,280.3725811451684,281.0179074830316,278.2254052808468
"Carbon dioxide",7.1062951651095,7.3222468825781,6.8841818445758,6.4379763629995,6.8197476320266,7.0490173063624,6.9460177461168,6.9801237526327,7.7259490292637,7.5091797188779,7.5820623740981,7.8916500510325,8.6059009673704,8.2707447236486,7.4816551185136,7.8556499250264,7.875120205779,8.2215043014067,8.637634842196,7.224287356599,8.5615422062281,7.9703391553921,10.2515234549279,8.350435912853,8.0977757576843,8.4240631437563,7.7352497547749,7.9312413860931,7.1781814341025,7.2336030889776,8.0370065432665,8.2602466578549
"Total",548.0491590911943,540.7459212711022,543.748618489545,561.7323614521508,566.1575264157924,572.2138446052163,577.5409301262056,566.7683073647501,574.9970616702059,571.7249040789607,564.9969139547054,573.1209886179956,577.2402576730015,576.7074982022071,579.3743424892773,577.7191294976517,574.7405971146809,594.0201319749764,586.1756547256274,585.7039132232924,590.9856316186494,582.3693585527201,572.6008635882188,597.5461594307284,603.0081867434129,604.9444126517182,601.7540285324736,613.0966081218224,629.4940155397185,614.4621107395419,597.2645086561465,598.0990614238442
